ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,prod_id,prod_long_desc,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country,min_age,max_age,avg_age,price_per_piece
7-12,59.99,3.0,426.0,4.7,Watch your step while you explore new things in the jungle!,60160.0,"Discover exciting things in the depths of the LEGO® City jungle with the Jungle Mobile Lab, featuring a truck with opening sides and roof, a waterfall build with a crocodile and temple with a moving leaf that hides a treasure, plus a buildable Venus flytrap plant with closing ‘mouth’ and a kayak. Includes 4 minifigures plus crocodile and spider figures.
Build a Mobile Lab for the Jungle Explorers as they continue their adventure deeper into the jungle and discover a waterfall mini-build with hidden treasure!
Includes 4 Jungle Explorer minifigures, crocodile and spider figures, plus special hidden treasure element
LEGO City building toys are compatible with all LEGO construction sets for creative building
Jungle Mobile Lab measures over 4 inches high, 7 inches long, and 2 inches wide. Waterfall build measures over 3 inches high, 7 inches wide, and 6 inches deep
426 pieces – For boy and girls between the ages of 7 and 12 years old",3,Jungle Mobile Lab,5.0,City,4.7,US,7.0,12.0,9.5,0.14082159624413146
5-12,59.99,2.0,303.0,4.5,Fly in and surprise the crooks at their hideout!,60173.0,"Pick up your badge and join the LEGO® City Mountain Police officers as they make a Mountain Arrest! This amazing children's toy set features a 2-level hideout with opening door, bathtub, beehive and post with crane and chain, a police helicopter with opening cab, double spinning rotors, opening door on the back, net shooter, winch with string and hook, plus a crook's escape buggy with space for loot. Includes 4 minifigures and a bear figure.
Includes 4 minifigures: a police officer, pilot and 2 crooks, plus a bear figure.
Features a 2-level crooks’ hideout with bathtub, opening door, beehive and crane with chain.
Also includes a police helicopter with double spinning rotors, net shooter and winch with string and hook, opening cockpit and sliding rear door, plus an escape buggy for the crooks with space for a backpack.
Move the crane arm on the hideout to lower the backpack and loot to the ground.
Hit the trigger on the net shooter to launch the net at the crook while the officer rappels to the ground using the winch and hook.
Accessory elements include 4 water elements, string net, brush, mug, map, backpack and 2 money bills.
This fun children's toy set is suitable for ages 5-12.
Police helicopter measures over 5” (13cm) high, 9” (24cm) long and 3” (8cm) wide.
Crooks' buggy measures over 1” (5cm) high, 3” (8cm) long and 1” (5cm) wide.
Hideout measures over 5” (13cm) high, 4” (12cm) wide and 2” (7cm) deep.
As seen in the LEGO® City Police TV commercial.",3,Mountain Arrest,4.0,City,2.5,US,5.0,12.0,8.5,0.197986798679868
6-12,59.99,8.0,415.0,4.4,Perform a daring helicopter rescue before the shark gets too close!,60166.0,"Be a part of the fearless LEGO® City coast guard crew on the Heavy-duty Rescue Helicopter, featuring sliding doors on the sides, opening ramp in the back with space for the included water scooter, 2-minifigure cockpit and a rotating crane arm with lowering winch. This fun set also includes a lighthouse, shipwreck and a kayak with paddle, plus 4 minifigures and a shark figure.
Build a Heavy-Duty Rescue Helicopter with spinning rotors so the Coast Guard can complete their high-flying mission!
Includes 1 female and 2 male Coast Guard members, a kayaker, plus a shark figure
LEGO City building toys are compatible with all LEGO construction sets for creative building
Heavy-Duty Rescue Helicopter measures over 5 inches high, 15 inches long, and 3 inches wide
415 pieces – For boy and girls between the ages of 6 and 12 years old",4,Heavy-duty Rescue Helicopter,4.4,City,4.0,US,6.0,12.0,9.0,0.1445542168674699
6-12,49.99,10.0,374.0,3.9,Stop the crooks before they escape from the mobile jail!,60139.0,"Be part of the action with the LEGO® City police as they stop the crook’s escape from the jail cell in the Mobile Command Center, featuring a detachable truck cab, room for two minifigures, monitoring room with screens, satellite dish, opening roof, side doors and rear ramp, storage area for the motorbike and tools and a jail cell breakout feature, plus the crooks’ ATV. Includes four minifigures and a police dog figure.
Build a truck that opens into a police mobile command center, with a detachable cab, jail cell, monitoring room, satellite dish, and more cool features!
Pull off the jail door for a breakout, and then chase down the crooks’ buildable ATV with the police motorbike!
Includes male and female police officers and male and female crook minifigures, plus police dog figure and accessories
LEGO City building toys are compatible with all LEGO construction sets for creative building
Mobile command center is over 4” high, 9” long, and 2” wide. Truck cab is over 3” high, 5” long, and 2” wide. ATV is over 1” high, 2” long, and 1” wide. Motorbike is over 1” high, 2” long, and under 1” wide
374 pieces – For boys and girls between the ages of 6 and 12 years old",2,Mobile Command Center,4.0,City,3.3,US,6.0,12.0,9.0,0.13366310160427808
5-12,49.99,16.0,337.0,3.6,"Hop on, there’s so much to see with the LEGO® City bus!",60154.0,"Join the other passengers for a quick and easy ride on the LEGO® City Bus. This cool model features opening front and side doors, a bike rack on the front, seats for minifigure riders, luggage storage space and room for a wheelchair inside, as well as a bus stop with a bike stand, trash can, waiting area and ramp, plus a newsstand with newspapers, fruit and drinks for sale. Includes 6 minifigures and a dog figure.
Build a busy Bus Station so your minifigures can travel the city streets and beyond!
Includes 6 minifigures: featuring a wheelchair passenger, plus a dog figure
LEGO City building toys are compatible with all LEGO construction sets for creative building
City Bus measures over 2 inches high, 9 inches long, and13 inches wide. Bus Stop measures over 2 inches high, 3 inches wide, and 3 inches deep
337 pieces – For boy and girls between the ages of 5 and 12 years old",2,Bus Station,3.3,City,2.7,US,5.0,12.0,8.5,0.14833827893175075
5-12,49.99,1.0,294.0,4.0,Drive in the heavy driller and start digging the cave!,60186.0,"Grab your hard hat and head out with the LEGO® City Mining Heavy Driller to make new discoveries! This fun toy features a functioning heavy driller with minifigure cab, shovel loader with tipping bed, plus a mine cave with breakaway golden nugget elements and a mobile lab. Includes 3 minifigures and a glow-in-the-dark spider figure.
Includes 3 minifigures: 2 miners and a geologist, plus a spider figure.
Features a functioning heavy driller with minifigure cab and a shovel loader with tipping bed.
Also includes a mine cave with breakaway golden nugget elements, mobile lab and a buildable tool stand.
Spider glows in the dark!
Turn the knob on the back of the heavy driller to spin the drill bit.
Shovel the golden nuggets into the loader bed, then tip the bed to empty the nuggets by the lab.
Set a golden nugget in the lab machine to analyze it.
Accessory elements include 8 golden nugget elements, a mug and a buildable stand with dynamite element and shovel.
This fun toy is suitable for ages 5-12.
Heavy driller measures over 2” (7cm) high, 9” (24cm) long and 3” (10cm) wide.
Shovel loader measures over 1” (5cm) high, 4” (11cm) long and 1” (5cm) wide.
Mine cave measures over 3” (10cm) high, 4” (12cm) wide and 2” (6cm) deep.
Mobile lab measures over 1” (3cm) high, 2” (6cm) wide and under 1” (2cm) deep.",3,Mining Heavy Driller,5.0,City,4.0,US,5.0,12.0,8.5,0.17003401360544218
5-12,39.99,10.0,169.0,4.3,Pack your city with a bunch of new people!,60153.0,"Grow your LEGO® City population with this people pack, featuring a wide range of minifigures and endless possibilities for activities, with windsurfing and kayaking, volleyball net with ball, trees with hammock and an ice cream stand. Includes 15 minifigures plus dog, fish, dolphin and lobster figures.
Build the perfect day at the LEGO City beach, with a whole range of mini-builds and tons of special LEGO element accessories!
Includes 15 male and female minifigures, plus dog, dolphin, lobster, and fish figures
LEGO City building toys are compatible with all LEGO construction sets for creative building
Special Accessories include an MP3 player, money notes, parasol, sand castle, radio, and kayak
169 pieces – For boy and girls between the ages of 5 and 12 years old
Compatible with all LEGO® City sets – Use People Packs to populate your LEGO City",1,People pack – Fun at the beach,4.1,City,3.6,US,5.0,12.0,8.5,0.23662721893491126
5-12,39.99,14.0,294.0,4.2,Help Chase McCain and the police nab the crook!,60138.0,"Be part of the action with the LEGO® City police as they call in Chase McCain to help stop the crook escaping with the loot in the stolen sports car. This set features a police helicopter with spinning rotors and a lowering winch with hook, police pursuit car, stolen sports car and a barrier. Includes four minifigures.
Build a police helicopter with spinning rotors, a police pursuit car, and a sports car full of stolen loot for them to chase down!
Use the buildable barrier to block the road and stop the crook
Includes Chase McCain (exclusive for Spring 2017), female police helicopter pilot, male police officer, and crook minifigures, plus gear and accessories
LEGO City building toys are compatible with all LEGO construction sets for creative building
Helicopter is over 4” high, 12” long, and 10” wide. Police car is over 1” high, 4” long, and 1” wide. Sports car is over 1” high, 4” long, and 1” wide
294 pieces – For boys and girls between the ages of 5 and 12 years old",3,High-speed Chase,4.2,City,4.1,US,5.0,12.0,8.5,0.1360204081632653
5-12,39.99,2.0,347.0,4.5,Race to the rescue on land and sea!,60165.0,"Join the rough and ready crew of the LEGO® City coast guard and their 4x4 Response Unit, featuring a 4x4 truck with opening minifigure cab, opening rear compartment with space for tools and gear, and a detachable trailer for the included rescue craft with room for 2 minifigures, drop-down engines and spinning propellers, radio antennas, toolbox and life preservers. There’s also a diver’s dinghy with dive gear, engine and fire elements. Includes 3 minifigures, plus an octopus figure.
Build a City Coast Guard 4x4 Response Unit with a detachable trailer and rescue craft for daring coastal rescue missions!
Includes 3 minifigures: 2 Coast Guard members and 1 diver, plus an octopus figure
LEGO City building toys are compatible with all LEGO construction sets for creative building
Coast Guard 4x4 Response Unit measures over 4 inches high, 4 inches long, and 2 inches wide
347 pieces – For boy and girls between the ages of 5 and 12 years old",1,4 x 4 Response Unit,5.0,City,5.0,US,5.0,12.0,8.5,0.1152449567723343
6-12,39.99,5.0,378.0,4.8,Defend the mission and dodge a surprise in the jungle!,60159.0,"Explore what lies within the LEGO® City jungle on a Jungle Halftrack Mission, featuring a truck with tracks on the back wheels, storage space for the chain and tool elements, plus an ATV with removable crate, a buildable campfire and a buildable temple with diamond element and moveable stone that releases a spider. Includes 2 minifigures, plus panther and spider figures.
Build a Half-Track Truck for tough jungle missions, along with an ATV and extra Jungle Temple mini-build!
Includes 2 minifigures: 1 male and 1 female Jungle Explorer, plus panther and spider figures
LEGO City building toys are compatible with all LEGO construction sets for creative building
Half-Track Truck measures over 3 inches high, 5 inches long, and 2 inches wide
378 pieces – For boy and girls between the ages of 6 and 12 years old",2,Jungle Halftrack Mission,4.8,City,4.6,US,6.0,12.0,9.0,0.1057936507936508
5-12,39.99,8.0,257.0,4.2,Call the Fire Response Unit for help!,60108.0,"Be part of the crew that helps protect LEGO® City from emergencies. The Fire Response Unit features a helicopter that carries water elements in a tank and can drop water elements from its opening cargo doors, a motorcycle with a fire extinguisher, and a container with a roof element that turns when hit by the water bricks to put the fire out. Includes 3 minifigures: a pilot, firefighter and a worker.
Build a fire response helicopter and motorcycle, including firefighting gear and a container with turning roof element!
Includes a pilot, firefighter and a worker minifigures
LEGO City building toys are compatible with all LEGO construction sets for creative building
Helicopter measures over 3” high, 12” long and3” wide. Motorcycle measures over 1” high, 2” long and under 1” wide. Container with flames down measures over 2” high, 4” wide and 2” deep
257 pieces – For boys and girls between the ages of 5 and 12",3,Fire Response Unit,3.9,City,3.8,US,5.0,12.0,8.5,0.15560311284046693
5-12,29.99,7.0,344.0,5.0,"Load up the Pickup & Caravan, it’s time for a vacation!",60182.0,"Head out into nature with the family in the LEGO® City Pickup & Caravan, featuring a big caravan with opening side, door, removable front roof to access the bedroom, removable furniture and a separate support leg to stand alone, plus a pickup truck with removable cab roof and bed with caravan hitch. This fun toy for boys and girls includes 3 minifigures and a crab figure.
Includes 3 minifigures: Mom, Dad and Son, plus a crab figure.
Features a caravan that opens on the side, opening door, removable front roof, furniture and a separate support leg to stand alone, plus a pickup truck with removable cab roof, minifigure cab and truck bed with a hitch for the caravan.
Unhitch the caravan from the pickup and extend the support leg so it can stand on its own.
Open the side of the caravan to access the inside.
Remove the front roof of the caravan to access the bedroom.
Accessory elements include a net, toy ship, camera, gas fire, pan, fish, 2 mugs, 2 chairs and a small buildable table.
This toy for boys and girls is suitable for ages 5-12.
Pickup measures over 2” (7cm) high, 5” (13cm) long and 2” (6cm) wide.
Caravan measures over 3” (10 cm) high, 7” (20cm) long and 2” (6cm) wide.
As seen in the LEGO® City Vehicles TV commercial.",2,Pickup & Caravan,5.0,City,5.0,US,5.0,12.0,8.5,0.08718023255813953
5-12,29.99,7.0,310.0,4.4,Haul in the helicopter to handle the heavy lifting!,60183.0,"Head to the worksite outside the city limits with the LEGO® City Heavy Cargo Transport, featuring a heavy truck with opening cab, toolbox and bull bars, a detachable extended trailer, plus a helicopter with spinning rotors, opening cockpit and a chain. This popular kids toy includes 2 minifigures.
Includes 2 minifigures: a truck driver and a helicopter pilot.
Features a heavy truck with bull bars, exhaust pipes, toolbox and opening cab, plus an extended trailer and helicopter with spinning rotors, opening cockpit and a chain.
Connect the trailer to the truck to haul the helicopter to the next job.
Drop the chain from the helicopter and hook it to the oil barrel to carry it to the worksite.
Spin the rotors and launch the helicopter off the trailer.
Accessory elements include a mug, box, wrench, shovel, walkie-talkie, fire extinguisher and an oil barrel.
This popular kids toy is suitable for ages 5-12.
Truck measures over 3” (8cm) high, 5” (14cm) long and 2” (6cm) wide.
Trailer measures over 1” (3cm) high, 10” (27cm) long and 2” (5cm) wide.
Helicopter measures over 3” (8cm) high, 8” (21cm) long and 1” (4cm) wide.
As seen in the LEGO® City Vehicles TV commercial.",2,Heavy Cargo Transport,4.7,City,4.7,US,5.0,12.0,8.5,0.09674193548387096
5-12,24.99,11.0,214.0,4.5,Put out the burning oil barrel!,60107.0,"Be a hero in LEGO® City with the Fire Ladder Truck, featuring an extending ladder that spins 360 degrees and a pull-out fire hose with a special stud-shooter function to knock down the flames. Includes 2 minifigures: a female firefighter and a male firefighter.
Build a fire truck featuring an extending ladder that spins 360 degrees and a pull-out fire hose with stud-shooter function!
Includes a female firefighter and a male firefighter
LEGO City building toys are compatible with all LEGO construction sets for creative building
Fire Ladder Truck measures over 3” high, 7” long and 1” wide
214 pieces – For boys and girls between the ages of 5 and 12",2,Fire Ladder Truck,4.5,City,4.1,US,5.0,12.0,8.5,0.11677570093457944
6-12,19.99,4.0,192.0,5.0,Jump the fire and give the crowd a thrilling show!,60180.0,"Become a legend and do the most gravity-defying stunts in the LEGO® City Monster Truck set, featuring a colorful monster truck with massive wheels, air scoop and working suspension, plus a buildable ramp and 2 fire containers with flame elements. This cool children's toy includes a minifigure.
Includes a monster truck driver minifigure.
Features a colorful monster truck with massive wheels, air scoop on the hood and working suspension, plus a buildable ramp.
Launch the monster truck off the ramp to jump over the flaming fire barrels.
Includes 2 buildable fire containers with flame elements.
This children's toy is suitable for ages 6-12.
Monster truck measures over 4” (12cm) high, 5” (14cm) long and 3” (9cm) wide.
Ramp measures over 3” (9cm) wide, 2” (6cm) deep and under 1” (2cm) high.
As seen in the LEGO® City Vehicles TV commercial.",3,Monster Truck,5.0,City,5.0,US,6.0,12.0,9.0,0.10411458333333333
